--- Simulation details ---

Horizon 2, [<10, [2, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0246, evb: 0.00000
Horizon 2, [<10, [2, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0298, need: 0.0246, evb: -0.00073
Horizon 2, [<10, [2, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0246, evb: 0.00000
Horizon 2, [<11, [2, 2]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0149, evb: 0.00000
Horizon 2, [<11, [2, 2]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0149, evb: -0.00080
Horizon 2, [<17, [1, 3]>, 0], q_old: 0.14, q_new: 0.21, gain: 0.0054, need: 0.0349, evb: 0.00019
Horizon 2, [<17, [1, 3]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0349, evb: 0.00000
Horizon 2, [<17, [1, 3]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0349, evb: 0.00000
Horizon 2, [<23, [1, 2]>, 0], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0211, evb: 0.00000
Horizon 2, [<23, [1, 2]>, 2], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0211, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 1], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0737, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 2], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.0737, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 3], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0737, evb: 0.00000
Horizon 1, [<11, [2, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0149, evb: 0.00000
Horizon 1, [<11, [2, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0149, evb: -0.00080
Horizon 1, [<17, [1, 2]>, 0], q_old: 0.14, q_new: 0.28, gain: 0.0231, need: 0.0349, evb: 0.00081
Horizon 1, [<17, [1, 2]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0349, evb: 0.00000
Horizon 1, [<17, [1, 2]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0349, evb: 0.00000
Horizon 0, [<0, [1, 1]>, 1], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.1520, evb: 0.00000
Horizon 0, [<0, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1520, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 1], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1577, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 2], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1577, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.1577, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 1], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1094, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1094, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.1094, evb: 0.00000
Horizon 0, [<3, [1, 1]>, 1], q_old: 0.00, q_new: 0.61, gain: -0.0490, need: 0.0765, evb: -0.00375
Horizon 0, [<3, [1, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0490, need: 0.0765, evb: -0.00375
Horizon 0, [<3, [1, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0765, evb: 0.00000
Horizon 0, [<4, [1, 1]>, 1], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0711, evb: 0.00000
Horizon 0, [<4, [1, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0358, need: 0.0711, evb: -0.00254
Horizon 0, [<4, [1, 1]>, 3], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0711, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 0], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.3954, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 1], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.3954, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 3], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.3954, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 0], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1713, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 2], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.1713, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1713, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 0], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0812, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 2], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.0812, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0812, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 0], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0324, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0324, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0324, evb: 0.00000
Horizon 0, [<10, [1, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0246, evb: 0.00000
Horizon 0, [<10, [1, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0298, need: 0.0246, evb: -0.00073
Horizon 0, [<10, [1, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0246, evb: 0.00000
Horizon 0, [<11, [1, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0149, evb: 0.00000
Horizon 0, [<11, [1, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0149, evb: -0.00080
Horizon 0, [<12, [1, 1]>, 0], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.8239, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.8239, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 3], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.8239, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.6101, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 2], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 1.6101, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.6101, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 1], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.5586, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.5586, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 3], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.5586, evb: 0.00000
Horizon 0, [<15, [1, 1]>, 1], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.2103, evb: 0.00000
Horizon 0, [<15, [1, 1]>, 2], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.2103, evb: 0.00000
